PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7149682, -117.1786388, 59, 293, 'Images/RouteBus_59_290_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7149682, -117.1786388, 59, 293, 'Images/RouteBus_59_290_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7149682, -117.1786388, 59, 293, 'Images/RouteBus_59_290_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715186, -117.1794297, 59, 296, 'Images/RouteBus_59_300_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715186, -117.1794297, 59, 296, 'Images/RouteBus_59_300_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715186, -117.1794297, 59, 296, 'Images/RouteBus_59_300_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715186, -117.1794297, 59, 296, 'Images/RouteBus_59_300_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715186, -117.1794297, 59, 296, 'Images/RouteBus_59_300_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715186, -117.1794297, 59, 296, 'Images/RouteBus_59_300_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7156605, -117.1824177, 59, 354, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:33 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7156605, -117.1824177, 59, 354, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:33 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7170192, -117.1828715, 59, 345, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7170192, -117.1828715, 59, 345, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7170192, -117.1828715, 59, 345, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7170192, -117.1828715, 59, 345, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:26:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7188657, -117.1836587, 59, 344, 'Images/RouteBus_59_340_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7188657, -117.1836587, 59, 344, 'Images/RouteBus_59_340_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7188657, -117.1836587, 59, 344, 'Images/RouteBus_59_340_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.720887, -117.1845432, 59, 346, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:20 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.720887, -117.1845432, 59, 346, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:20 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.722188, -117.1849625, 59, 348, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.722188, -117.1849625, 59, 348, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.722188, -117.1849625, 59, 348, 'Images/RouteBus_59_350_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:27:31 PM')]);
