PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7208452, -117.1844983, 60, 12, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7207078, -117.1839415, 60, 154, 'Images/RouteBus_60_150_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7207078, -117.1839415, 60, 154, 'Images/RouteBus_60_150_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7207078, -117.1839415, 60, 154, 'Images/RouteBus_60_150_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7207078, -117.1839415, 60, 154, 'Images/RouteBus_60_150_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7207078, -117.1839415, 60, 154, 'Images/RouteBus_60_150_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7207078, -117.1839415, 60, 154, 'Images/RouteBus_60_150_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7194075, -117.1801608, 60, 89, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:10 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7194222, -117.1797158, 60, 86, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7194222, -117.1797158, 60, 86, 'Images/RouteBus_60_090_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:17:13 PM')]);
