PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7333772, -117.208784, 57, 354, 'Images/RouteBus_57_350_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7333772, -117.208784, 57, 354, 'Images/RouteBus_57_350_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7333772, -117.208784, 57, 354, 'Images/RouteBus_57_350_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7333772, -117.208784, 57, 354, 'Images/RouteBus_57_350_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7333772, -117.208784, 57, 354, 'Images/RouteBus_57_350_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7337187, -117.207091, 57, 90, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.73371, -117.2047087, 57, 89, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.73371, -117.2047087, 57, 89, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.73371, -117.2047087, 57, 89, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.73371, -117.2047087, 57, 89, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.73372, -117.200219, 57, 90, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:01 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.73372, -117.200219, 57, 90, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:01 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.73372, -117.200219, 57, 90, 'Images/RouteBus_57_090_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:01 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7336877, -117.195728, 57, 96, 'Images/RouteBus_57_100_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:20 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7336877, -117.195728, 57, 96, 'Images/RouteBus_57_100_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:20 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7334802, -117.194129, 57, 105, 'Images/RouteBus_57_110_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7334802, -117.194129, 57, 105, 'Images/RouteBus_57_110_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7334802, -117.194129, 57, 105, 'Images/RouteBus_57_110_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7334802, -117.194129, 57, 105, 'Images/RouteBus_57_110_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:19:29 PM')]);
